Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Age Number,Age Unit,Grouped Sex upon Outcome
A832264,*Helios,2021-06-05 17:15:00,Jun 2021,2021-04-10,Adoption,Cat,Neutered Male,56,Domestic Shorthair,Brown Tabby/White,1,30.0,Fixed
A810596,Hercules,2019-12-17 19:12:00,Dec 2019,2019-04-17,Return to Owner,Dog,Intact Male,244,Great Pyrenees/Labrador Retriever,White,8,30.0,Intact
A662806,Meatball,2013-10-27 14:40:00,Oct 2013,2013-07-25,Adoption,Cat,Neutered Male,94,Domestic Shorthair Mix,Brown Tabby,3,30.0,Fixed
A581443,Satellite,2018-02-25 18:25:00,Feb 2018,2010-05-03,Return to Owner,Dog,Spayed Female,2855,Australian Cattle Dog Mix,Red Tick,7,365.0,Fixed
A838106,*Starsky,2021-09-07 11:06:00,Sep 2021,2021-06-02,Adoption,Cat,Neutered Male,97,Domestic Shorthair,Orange Tabby,3,30.0,Fixed
A689212,Luigi,2015-04-09 11:49:00,Apr 2015,2013-11-30,Adoption,Dog,Neutered Male,495,Labrador Retriever/Collie Smooth,Chocolate,1,365.0,Fixed
A806994,Basil,2019-10-25 16:41:00,Oct 2019,2019-07-19,Adoption,Dog,Neutered Male,98,Labrador Retriever Mix,White/Black,3,30.0,Fixed
A742622,*Zelda,2017-02-01 10:12:00,Feb 2017,2015-01-25,Adoption,Dog,Spayed Female,738,Redbone Hound Mix,Red,2,365.0,Fixed
A771254,*Jake,2018-05-12 15:57:00,May 2018,2017-05-02,Adoption,Dog,Neutered Male,375,Dachshund Mix,Brown,1,365.0,Fixed
A749247,Foxy James,2017-05-29 17:10:00,May 2017,2017-03-29,Adoption,Cat,Intact Male,61,Domestic Shorthair Mix,Black/White,1,30.0,Intact
A801356,Marco,2019-08-04 11:34:00,Aug 2019,2017-12-03,Euthanasia,Cat,Neutered Male,609,Domestic Shorthair,Black,1,365.0,Fixed
A738335,Newman,2016-12-09 15:59:00,Dec 2016,2014-11-13,Transfer,Cat,Neutered Male,757,Domestic Shorthair Mix,Brown Tabby,2,365.0,Fixed
A554122,Kamio,2018-03-19 11:06:00,Mar 2018,2003-09-03,Adoption,Dog,Intact Female,5311,Chihuahua Longhair Mix,Black/White,14,365.0,Intact
A721385,Peyton,2016-03-01 17:36:00,Mar 2016,2010-02-28,Return to Owner,Dog,Spayed Female,2193,German Shepherd Mix,Brown/Black,6,365.0,Fixed
A728997,Nano,2016-06-17 13:11:00,Jun 2016,2015-01-12,Adoption,Dog,Neutered Male,522,Labrador Retriever Mix,Black/White,1,365.0,Fixed
A712323,Cookie,2015-09-29 12:06:00,Sep 2015,2015-07-21,Adoption,Cat,Intact Female,70,Domestic Shorthair Mix,White/Black,2,30.0,Intact
A788540,Chloe,2019-06-20 17:56:00,Jun 2019,2008-02-04,Adoption,Cat,Spayed Female,4154,Ragdoll Mix,Seal Point,11,365.0,Fixed
A721138,Molly,2016-02-24 17:59:00,Feb 2016,2014-02-22,Return to Owner,Dog,Spayed Female,732,Chihuahua Shorthair/Rhod Ridgeback,Black/White,2,365.0,Fixed
A778413,Harry,2018-08-26 00:00:00,Aug 2018,2018-04-14,Transfer,Bird,Intact Male,134,Chicken Mix,Blue,4,30.0,Intact
A699112,*Freida,2015-05-23 13:53:00,May 2015,2015-03-15,Adoption,Cat,Spayed Female,69,Domestic Shorthair Mix,Brown Tabby,2,30.0,Fixed
A738334,Ceeder,2018-01-10 12:50:00,Jan 2018,2015-11-13,Return to Owner,Dog,Neutered Male,789,Labrador Retriever Mix,Black/White,2,365.0,Fixed
A719618,Alice,2016-08-24 16:57:00,Aug 2016,2014-07-24,Return to Owner,Dog,Spayed Female,762,Siberian Husky Mix,Red,2,365.0,Fixed
A635622,*Quinn,2014-07-29 16:52:00,Jul 2014,2003-08-25,Euthanasia,Dog,Neutered Male,3991,Rottweiler Mix,Black/Brown,10,365.0,Fixed
A708511,Tiger,2015-08-01 14:51:00,Aug 2015,2015-05-06,Adoption,Cat,Neutered Male,87,Domestic Shorthair Mix,Orange Tabby/White,2,30.0,Fixed
A749879,*Persia,2017-05-28 17:32:00,May 2017,2016-05-20,Adoption,Dog,Spayed Female,373,Labrador Retriever Mix,Black/White,1,365.0,Fixed
A678090,Clementine,2014-06-04 15:09:00,Jun 2014,2014-04-07,Adoption,Cat,Intact Female,58,Domestic Shorthair Mix,Orange Tabby,1,30.0,Intact
A724527,*Goliath,2016-04-23 14:47:00,Apr 2016,2015-04-19,Transfer,Cat,Intact Male,370,Domestic Medium Hair,Blue,1,365.0,Intact
A711576,Paul,2015-09-11 12:59:00,Sep 2015,2015-07-25,Return to Owner,Cat,Intact Male,48,Domestic Shorthair Mix,Orange Tabby,1,30.0,Intact
A769247,Lola,2018-04-07 14:40:00,Apr 2018,2018-01-26,Adoption,Dog,Spayed Female,71,Labrador Retriever Mix,Black/White,2,30.0,Fixed
A757269,Princess,2017-09-08 17:29:00,Sep 2017,2017-06-22,Adoption,Dog,Spayed Female,78,Pit Bull,Tan/White,2,30.0,Fixed
A780386,Callie,2018-09-26 15:14:00,Sep 2018,2017-10-18,Transfer,Dog,Spayed Female,343,Dachshund Wirehair/Chihuahua Shorthair,Tan/White,11,30.0,Fixed
A780518,*Stilts,2019-06-04 18:20:00,Jun 2019,2018-06-16,Adoption,Dog,Neutered Male,353,Labrador Retriever/Boxer,Black/White,11,30.0,Fixed
A568985,Bevo,2020-07-21 11:21:00,Jul 2020,2008-09-25,Adoption,Dog,Neutered Male,4317,Chihuahua Shorthair Mix,Red/White,11,365.0,Fixed
A696382,*Izzy,2015-08-01 12:18:00,Aug 2015,2013-02-03,Adoption,Dog,Spayed Female,909,Pit Bull Mix,Black/White,2,365.0,Fixed
A691444,Zeus,2014-11-12 17:16:00,Nov 2014,2014-03-04,Adoption,Dog,Neutered Male,253,Chihuahua Shorthair Mix,Black/White,8,30.0,Fixed
A792386,Choconana,2019-04-13 16:27:00,Apr 2019,2019-01-26,Adoption,Dog,Spayed Female,77,German Shepherd Mix,Black/White,2,30.0,Fixed
A695169,Peaches,2015-04-13 19:15:00,Apr 2015,2013-01-10,Adoption,Dog,Spayed Female,823,Australian Cattle Dog Mix,Tan,2,365.0,Fixed
A688716,Jorgo,2014-09-24 18:09:00,Sep 2014,2013-10-22,Return to Owner,Dog,Neutered Male,337,Chihuahua Shorthair Mix,Tan,11,30.0,Fixed
A666885,*Jordan,2013-11-19 18:06:00,Nov 2013,2013-08-24,Adoption,Cat,Neutered Male,87,Domestic Shorthair Mix,Black/White,2,30.0,Fixed
A755356,Manchas,2017-08-03 15:13:00,Aug 2017,2016-08-02,Return to Owner,Dog,Intact Male,366,Australian Cattle Dog Mix,Blue Merle,1,365.0,Intact
A640771,Jazz,2015-08-30 15:05:00,Aug 2015,2010-10-29,Return to Owner,Dog,Spayed Female,1766,Pit Bull Mix,White/Brown,4,365.0,Fixed
A578688,Bailey,2016-04-29 18:06:00,Apr 2016,2009-08-06,Adoption,Dog,Spayed Female,2458,Chow Chow Mix,Red/White,6,365.0,Fixed
A804630,Hector,2019-09-20 12:37:00,Sep 2019,2017-09-16,Transfer,Dog,Intact Male,734,Havanese,Brown/White,2,365.0,Intact
A703770,*Mia,2015-07-19 19:48:00,Jul 2015,2015-04-28,Adoption,Cat,Spayed Female,82,Domestic Shorthair Mix,Brown Tabby,2,30.0,Fixed
A766341,Bagel,2018-04-04 14:22:00,Apr 2018,2017-11-22,Adoption,Dog,Neutered Male,133,Black Mouth Cur Mix,Tan/White,4,30.0,Fixed
A697579,*Carbon,2015-07-26 19:06:00,Jul 2015,2013-08-25,Adoption,Dog,Neutered Male,700,Labrador Retriever/Jack Russell Terrier,Black/White,1,365.0,Fixed
A836544,A836544,2021-06-21 15:57:00,Jun 2021,2021-04-11,Adoption,Dog,Spayed Female,71,Labrador Retriever,Yellow,2,30.0,Fixed
A690231,*Missy,2014-10-22 12:50:00,Oct 2014,2014-04-13,Transfer,Dog,Spayed Female,192,Pit Bull Mix,Brown Brindle/White,6,30.0,Fixed
A704906,*Smokey,2015-06-20 12:28:00,Jun 2015,2015-05-10,Died,Cat,Intact Female,41,Domestic Shorthair Mix,Black,1,30.0,Intact
A730946,*Marshmallow,2016-07-27 17:03:00,Jul 2016,2015-07-13,Transfer,Dog,Intact Male,380,Pit Bull Mix,White/Blue,1,365.0,Intact
A695136,Gertrude,2015-01-24 18:26:00,Jan 2015,2012-01-09,Adoption,Dog,Spayed Female,1111,Boxer Mix,Brown/White,3,365.0,Fixed
A704225,Ramona,2015-08-01 17:48:00,Aug 2015,2014-06-02,Adoption,Cat,Spayed Female,425,Domestic Longhair Mix,Black,1,365.0,Fixed
A674839,Max,2014-03-27 18:47:00,Mar 2014,2012-03-19,Return to Owner,Dog,Neutered Male,738,Rat Terrier Mix,White/Black,2,365.0,Fixed
A737236,*Arlington,2016-11-03 13:02:00,Nov 2016,2016-08-24,Adoption,Cat,Neutered Male,71,Domestic Shorthair Mix,Black,2,30.0,Fixed
A820979,Arvo,2020-08-02 14:42:00,Aug 2020,2018-08-02,Return to Owner,Dog,Neutered Male,731,Mexican Hairless Mix,Gray,2,365.0,Fixed
A675008,Bertie Lu,2014-10-06 14:51:00,Oct 2014,2014-01-06,Adoption,Dog,Spayed Female,273,Chihuahua Shorthair/Dachshund,Black/Brown,8,30.0,Fixed
A685309,*Rico,2014-08-23 17:29:00,Aug 2014,2011-08-05,Adoption,Dog,Neutered Male,1114,Chihuahua Shorthair Mix,White/Tan,3,365.0,Fixed
A787693,*Molly,2019-03-14 18:15:00,Mar 2019,2019-01-17,Adoption,Dog,Spayed Female,56,Labrador Retriever/German Shepherd,Black/White,1,30.0,Fixed
A693283,Maximus,2014-12-07 18:24:00,Dec 2014,2012-12-05,Return to Owner,Dog,Neutered Male,732,Pit Bull Mix,Tan/White,2,365.0,Fixed
A705760,Cali,2015-07-02 17:44:00,Jul 2015,2012-06-20,Transfer,Dog,Intact Female,1107,Pit Bull Mix,Brown,3,365.0,Intact
A714754,*Letti,2016-03-16 11:43:00,Mar 2016,2015-09-30,Adoption,Cat,Spayed Female,168,Domestic Shorthair Mix,Blue/White,5,30.0,Fixed
A803915,Oreo,2019-11-07 00:00:00,Nov 2019,2016-09-08,Transfer,Dog,Intact Male,1155,Australian Cattle Dog,Black/White,3,365.0,Intact
A676657,Kylie,2014-04-14 13:08:00,Apr 2014,2009-04-13,Transfer,Cat,Spayed Female,1827,Domestic Shorthair Mix,Calico Point,5,365.0,Fixed
A722917,*Brook,2017-03-06 14:30:00,Mar 2017,2014-03-24,Transfer,Dog,Spayed Female,1078,Labrador Retriever Mix,Black/White,2,365.0,Fixed
A731625,*Hudson,2016-09-26 18:53:00,Sep 2016,2016-06-20,Adoption,Cat,Neutered Male,98,Domestic Shorthair Mix,Black,3,30.0,Fixed
A727994,*Ethan,2016-07-03 12:00:00,Jul 2016,2016-04-22,Adoption,Cat,Neutered Male,72,Domestic Shorthair Mix,Black,2,30.0,Fixed
A785122,*Hook Em,2018-12-04 15:36:00,Dec 2018,2017-11-26,Transfer,Dog,Neutered Male,373,Harrier Mix,Red/White,1,365.0,Fixed
A666505,Sugar,2013-11-04 12:22:00,Nov 2013,2010-11-02,Return to Owner,Cat,Spayed Female,1098,Domestic Shorthair Mix,Calico,3,365.0,Fixed
A726888,*Hedi,2016-05-20 19:05:00,May 2016,2015-12-01,Adoption,Dog,Spayed Female,171,German Shorthair Pointer Mix,White/Red Merle,5,30.0,Fixed
A797928,*Pearl,2019-07-13 14:35:00,Jul 2019,2019-05-28,Transfer,Cat,Intact Female,46,Domestic Shorthair,Calico,1,30.0,Intact
A713016,*Loquat,2015-11-07 18:16:00,Nov 2015,2015-04-01,Adoption,Cat,Spayed Female,220,Domestic Shorthair Mix,Cream Tabby,7,30.0,Fixed
A828319,*Punkin,2021-02-06 10:40:00,Feb 2021,2020-11-19,Adoption,Dog,Spayed Female,79,Chihuahua Shorthair,White,2,30.0,Fixed
A784218,*Murial,2018-11-20 13:30:00,Nov 2018,2018-03-13,Transfer,Dog,Spayed Female,252,Beagle/Jack Russell Terrier,Tricolor,8,30.0,Fixed
A767438,*Beeper,2018-03-15 17:16:00,Mar 2018,2017-03-01,Adoption,Dog,Neutered Male,379,Chihuahua Shorthair Mix,Brown/White,1,365.0,Fixed
A833444,*Sully,2021-07-13 09:10:00,Jul 2021,2021-04-22,Adoption,Cat,Neutered Male,82,Domestic Shorthair,Black/White,2,30.0,Fixed
A772085,*Sully,2018-06-20 18:01:00,Jun 2018,2018-04-17,Adoption,Cat,Neutered Male,64,Domestic Shorthair Mix,Brown Tabby/White,2,30.0,Fixed
A745149,Biddy,2017-04-11 13:12:00,Apr 2017,2002-03-13,Adoption,Cat,Neutered Male,5508,Domestic Shorthair Mix,Brown Tabby,15,365.0,Fixed
A668882,Jethro,2016-06-11 15:18:00,Jun 2016,2011-12-11,Adoption,Cat,Neutered Male,1644,Domestic Shorthair Mix,White,4,365.0,Fixed
A750557,*Dale,2017-07-01 14:57:00,Jul 2017,2017-04-22,Adoption,Cat,Neutered Male,70,Domestic Shorthair Mix,Brown Tabby/White,2,30.0,Fixed
A839924,Pumpkin,2021-08-03 14:43:00,Aug 2021,2019-07-29,Transfer,Cat,Intact Female,736,Domestic Shorthair,Cream Tabby,2,365.0,Intact
A717054,*Beau,2015-12-28 00:00:00,Dec 2015,2013-12-01,Transfer,Cat,Neutered Male,757,Himalayan Mix,Seal Point,2,365.0,Fixed
A804080,*Kili,2019-11-29 10:11:00,Nov 2019,2019-07-10,Adoption,Cat,Neutered Male,142,Domestic Shorthair,Black/White,4,30.0,Fixed
A682000,Lita,2014-07-03 17:32:00,Jul 2014,2013-06-22,Adoption,Dog,Intact Female,376,Bruss Griffon/Pug,Tan,1,365.0,Intact
A795329,Cookie,2019-06-18 14:12:00,Jun 2019,2017-11-19,Adoption,Dog,Spayed Female,576,Australian Cattle Dog Mix,White/Brown Brindle,1,365.0,Fixed
A710841,Marley,2015-08-28 16:28:00,Aug 2015,2005-08-28,Return to Owner,Cat,Neutered Male,3652,Domestic Shorthair Mix,Orange Tabby,10,365.0,Fixed
A842177,*Chico,2021-09-29 16:29:00,Sep 2021,2021-03-27,Adoption,Dog,Neutered Male,186,Pointer Mix,White/Black,6,30.0,Fixed
A844551,Myla,2021-10-18 18:02:00,Oct 2021,2018-10-17,Return to Owner,Dog,Intact Female,1097,Beagle Mix,Black/Brown,3,365.0,Intact
A818479,*Zoya,2020-08-22 17:11:00,Aug 2020,2018-06-09,Adoption,Dog,Spayed Female,805,Shiba Inu Mix,Red,2,365.0,Fixed
A799668,Bibi,2019-07-19 18:40:00,Jul 2019,2018-12-24,Return to Owner,Dog,Spayed Female,207,Welsh Terrier,Black/White,6,30.0,Fixed
A692955,*Maria,2015-01-24 11:27:00,Jan 2015,2014-10-29,Adoption,Cat,Spayed Female,87,Domestic Shorthair Mix,Black/White,2,30.0,Fixed
A742897,Nala,2020-02-15 13:42:00,Feb 2020,2016-02-05,Return to Owner,Dog,Spayed Female,1471,Rottweiler Mix,Blue/Tan,4,365.0,Fixed
A794280,Snuggles,2019-05-06 16:53:00,May 2019,2017-05-06,Return to Owner,Dog,Neutered Male,730,Miniature Poodle Mix,White,2,365.0,Fixed
A673950,Baby,2014-03-07 12:03:00,Mar 2014,2012-03-05,Return to Owner,Dog,Spayed Female,732,Labrador Retriever Mix,Black/Brown,2,365.0,Fixed
A794169,Lulu,2019-07-02 14:00:00,Jul 2019,2018-09-04,Transfer,Cat,Spayed Female,301,Domestic Shorthair Mix,Brown Tabby,9,30.0,Fixed
A686107,Tally,2014-08-18 12:08:00,Aug 2014,2012-08-16,Return to Owner,Cat,Neutered Male,732,Domestic Shorthair Mix,Brown Tabby/White,2,365.0,Fixed
A681678,Saja,2014-06-30 19:30:00,Jun 2014,2006-06-19,Adoption,Dog,Spayed Female,2933,Siberian Husky Mix,Sable,8,365.0,Fixed
A721841,Charlie,2016-03-30 18:18:00,Mar 2016,2015-03-05,Adoption,Dog,Neutered Male,391,Miniature Poodle Mix,Chocolate,1,365.0,Fixed
A819353,*Flower,2020-09-19 09:44:00,Sep 2020,2020-06-19,Adoption,Dog,Spayed Female,92,Labrador Retriever Mix,Black,3,30.0,Fixed
A724648,Dexter,2016-04-21 18:57:00,Apr 2016,2014-04-20,Return to Owner,Dog,Intact Male,732,Cairn Terrier Mix,Tricolor,2,365.0,Intact
A679085,*Elsa,2014-05-31 15:47:00,May 2014,2012-05-16,Adoption,Cat,Neutered Male,745,Siamese Mix,Lynx Point,2,365.0,Fixed
A666700,Pie De Choco,2013-11-11 17:57:00,Nov 2013,2011-11-06,Adoption,Dog,Spayed Female,736,Chihuahua Shorthair Mix,Black/Tricolor,2,365.0,Fixed
A821390,*Egg Roll,2020-12-05 08:11:00,Dec 2020,2020-07-10,Adoption,Cat,Spayed Female,148,Domestic Shorthair,Torbie,4,30.0,Fixed
A757357,031,2017-10-04 09:13:00,Oct 2017,2015-09-01,Transfer,Dog,Intact Male,764,Pit Bull Mix,Tan/White,2,365.0,Intact
A797262,*Bobbie,2019-08-03 13:56:00,Aug 2019,2019-06-04,Adoption,Cat,Spayed Female,60,Domestic Shorthair,Orange Tabby,1,30.0,Fixed
A710745,Iris,2015-09-10 12:29:00,Sep 2015,2015-05-01,Adoption,Dog,Spayed Female,132,Rat Terrier Mix,Black/White,4,30.0,Fixed
A825977,Cerberus,2020-11-23 17:22:00,Nov 2020,2019-11-17,Adoption,Dog,Neutered Male,372,Labrador Retriever/Chihuahua Shorthair,Black/White,1,365.0,Fixed
A677450,Gizmo,2014-05-22 18:32:00,May 2014,2012-04-25,Died,Dog,Neutered Male,757,Chow Chow/Basset Hound,Brown,2,365.0,Fixed
A705625,Jack,2017-03-04 18:30:00,Mar 2017,2013-06-19,Return to Owner,Dog,Neutered Male,1354,Pit Bull Mix,Brown/White,3,365.0,Fixed
A721861,Tom,2020-02-02 11:25:00,Feb 2020,2015-03-06,Return to Owner,Cat,Neutered Male,1794,Domestic Shorthair Mix,Orange Tabby/White,4,365.0,Fixed
A789237,Angelica,2019-02-28 15:13:00,Feb 2019,2018-08-18,Adoption,Cat,Spayed Female,194,Domestic Shorthair Mix,Calico,6,30.0,Fixed
A683345,Muffin,2014-07-10 18:59:00,Jul 2014,2013-10-09,Adoption,Dog,Spayed Female,274,Soft Coated Wheaten Terrier/Labrador Retriever,Sable/Tan,9,30.0,Fixed
A698741,Bandit,2015-03-18 12:32:00,Mar 2015,2011-03-17,Return to Owner,Cat,Neutered Male,1462,Snowshoe Mix,Seal Point,4,365.0,Fixed
A754042,*Loverboy,2017-09-13 19:15:00,Sep 2017,2017-04-29,Adoption,Cat,Neutered Male,137,Siamese Mix,Flame Point,4,30.0,Fixed
A696536,*Lilac,2015-02-15 11:42:00,Feb 2015,2011-02-06,Transfer,Dog,Intact Female,1470,Pit Bull Mix,White,4,365.0,Intact
A715594,Julian,2015-12-03 15:16:00,Dec 2015,2015-07-10,Adoption,Cat,Spayed Female,146,Domestic Shorthair Mix,Black,4,30.0,Fixed
A782344,Austin,2019-10-09 12:07:00,Oct 2019,2017-10-13,Adoption,Dog,Neutered Male,726,Pit Bull Mix,Black/White,1,365.0,Fixed
A709784,Max,2015-08-28 19:02:00,Aug 2015,2014-08-13,Adoption,Dog,Neutered Male,380,Miniature Pinscher Mix,Black/Tan,1,365.0,Fixed
A724432,Pelucho,2016-08-28 14:59:00,Aug 2016,2014-04-17,Adoption,Cat,Neutered Male,864,Domestic Shorthair Mix,Orange Tabby/White,2,365.0,Fixed
A681711,*Bobby,2014-07-12 20:11:00,Jul 2014,2014-05-01,Adoption,Cat,Neutered Male,72,Domestic Shorthair Mix,Brown Tabby,2,30.0,Fixed
A565413,Coco,2018-12-27 12:00:00,Dec 2018,2009-08-05,Adoption,Dog,Neutered Male,3431,Miniature Pinscher,Brown/Liver,9,365.0,Fixed
A823105,Max,2021-07-04 15:14:00,Jul 2021,2019-04-16,Return to Owner,Dog,Neutered Male,810,German Shepherd/American Bulldog,Tricolor,2,365.0,Fixed
A809742,Amaya,2020-01-11 12:17:00,Jan 2020,2019-03-30,Adoption,Cat,Spayed Female,287,Domestic Shorthair Mix,Brown Tabby,9,30.0,Fixed
A635818,Oscar,2014-03-04 13:36:00,Mar 2014,2009-08-28,Return to Owner,Dog,Neutered Male,1649,Dachshund Mix,Black/Tan,4,365.0,Fixed
A800763,*Patches,2019-09-17 13:07:00,Sep 2019,2019-06-26,Adoption,Cat,Spayed Female,83,Domestic Shorthair,Calico,2,30.0,Fixed
A696396,Molly,2015-02-08 18:27:00,Feb 2015,2014-12-04,Adoption,Dog,Spayed Female,66,Labrador Retriever Mix,Black/Brown Brindle,2,30.0,Fixed
A785507,Jolly,2018-12-04 13:03:00,Dec 2018,2018-09-12,Transfer,Dog,Intact Male,83,Lhasa Apso Mix,White/Tan,2,30.0,Intact
A788121,Zen,2019-01-27 15:36:00,Jan 2019,2017-01-27,Return to Owner,Dog,Intact Female,730,Chihuahua Shorthair Mix,Black/Tan,2,365.0,Intact
A792271,*Tulip,2019-05-24 12:56:00,May 2019,2019-03-08,Adoption,Cat,Spayed Female,77,Domestic Shorthair Mix,Brown Tabby,2,30.0,Fixed
A808455,Nero,2020-03-15 17:59:00,Mar 2020,2018-05-09,Adoption,Dog,Neutered Male,676,American Bulldog,White/Brown Brindle,1,365.0,Fixed
A722330,*Lulu,2016-04-02 19:26:00,Apr 2016,2015-07-14,Adoption,Dog,Spayed Female,263,Pit Bull Mix,Black/White,8,30.0,Fixed
A690107,Bentley,2016-01-19 18:33:00,Jan 2016,2011-10-31,Return to Owner,Dog,Neutered Male,1541,Miniature Schnauzer Mix,Gray/Black,4,365.0,Fixed
A826537,*Ava,2021-04-07 12:01:00,Apr 2021,2020-09-09,Adoption,Cat,Spayed Female,210,Domestic Shorthair,Orange Tabby/White,6,30.0,Fixed
A737165,Lucy,2016-10-24 16:47:00,Oct 2016,2016-08-16,Return to Owner,Cat,Intact Male,69,Domestic Shorthair Mix,Blue/White,2,30.0,Intact
A703468,Jake,2015-07-06 11:10:00,Jul 2015,2007-05-25,Adoption,Dog,Neutered Male,2964,Labrador Retriever Mix,Tan,8,365.0,Fixed
A801681,*Dakota,2019-08-14 14:52:00,Aug 2019,2019-01-07,Transfer,Dog,Intact Female,219,Siberian Husky Mix,Cream/Black,7,30.0,Intact
A716192,*Tiernee,2015-11-22 18:15:00,Nov 2015,2015-08-16,Adoption,Cat,Spayed Female,98,Domestic Shorthair Mix,Tortie,3,30.0,Fixed
A719139,*Vera,2016-02-03 00:00:00,Feb 2016,2015-03-13,Transfer,Cat,Intact Female,327,Domestic Shorthair Mix,Brown Tabby,10,30.0,Intact
A673979,Curly,2014-03-09 17:33:00,Mar 2014,2007-03-05,Return to Owner,Dog,Neutered Male,2561,Toy Poodle Mix,White,7,365.0,Fixed
A718303,Ophelia,2016-05-07 11:43:00,May 2016,2012-12-27,Transfer,Dog,Spayed Female,1227,Staffordshire Mix,Brown/White,3,365.0,Fixed
A806841,Fiona,2019-10-29 15:53:00,Oct 2019,2017-10-16,Adoption,Dog,Intact Female,743,Rat Terrier Mix,White/Brown,2,365.0,Intact
A802782,Cosmos,2019-11-29 00:00:00,Nov 2019,2016-08-22,Adoption,Cat,Neutered Male,1194,Domestic Shorthair,Orange Tabby,3,365.0,Fixed
A705586,*Sparrow,2015-08-20 07:29:00,Aug 2015,2015-05-14,Adoption,Cat,Spayed Female,98,Domestic Medium Hair Mix,Brown Tabby,3,30.0,Fixed
A495369,Lilly,2016-09-10 19:19:00,Sep 2016,2005-06-18,Return to Owner,Dog,Spayed Female,4102,Yorkshire Terrier Mix,Black/Brown,11,365.0,Fixed
A694731,*Miley,2015-01-09 11:29:00,Jan 2015,2009-01-03,Transfer,Dog,Spayed Female,2197,Miniature Schnauzer Mix,Gray,6,365.0,Fixed
A813599,Panda,2020-02-19 10:39:00,Feb 2020,2018-02-14,Transfer,Cat,Neutered Male,735,Domestic Longhair,White/Blue Tabby,2,365.0,Fixed
A818978,*Georgie,2021-03-06 15:12:00,Mar 2021,2018-06-18,Adoption,Cat,Spayed Female,992,Domestic Shorthair,Torbie,2,365.0,Fixed
A650194,Sam,2019-05-26 13:08:00,May 2019,2013-01-11,Adoption,Dog,Neutered Male,2326,Labrador Retriever Mix,Cream,6,365.0,Fixed
A722537,Dozer,2016-03-20 10:19:00,Mar 2016,2007-03-18,Return to Owner,Dog,Neutered Male,3290,Great Dane Mix,White/Black,9,365.0,Fixed
A759982,*Tinkerbell,2017-11-08 17:35:00,Nov 2017,2017-08-10,Adoption,Dog,Spayed Female,90,Chihuahua Shorthair Mix,Tan,2,30.0,Fixed
A665549,Bella,2016-04-02 15:19:00,Apr 2016,2011-10-19,Adoption,Cat,Spayed Female,1627,Domestic Shorthair Mix,White/Brown Tabby,4,365.0,Fixed
A773436,Zoey,2018-07-06 14:34:00,Jul 2018,2015-06-01,Adoption,Cat,Spayed Female,1131,Domestic Shorthair Mix,Black/White,3,365.0,Fixed
A673097,*Blue,2014-03-18 08:54:00,Mar 2014,2014-01-12,Adoption,Dog,Neutered Male,65,Maltese,White,2,30.0,Fixed
A728432,*Bindy,2016-06-18 16:49:00,Jun 2016,2014-06-04,Transfer,Cat,Intact Female,745,Domestic Shorthair Mix,Brown Tabby,2,365.0,Intact
A666034,Tart,2013-10-31 15:57:00,Oct 2013,2013-08-04,Adoption,Cat,Spayed Female,88,Domestic Shorthair Mix,Torbie,2,30.0,Fixed
A708440,Jameson,2015-08-01 14:17:00,Aug 2015,2014-11-27,Adoption,Dog,Spayed Female,247,Chihuahua Shorthair Mix,Black/White,8,30.0,Fixed
A683090,Jenny Tyson,2017-05-15 16:01:00,May 2017,2014-04-22,Adoption,Dog,Spayed Female,1119,Black Mouth Cur Mix,Brown/Black,3,365.0,Fixed
A815357,Chuy,2020-03-16 12:02:00,Mar 2020,2009-09-16,Return to Owner,Dog,Intact Male,3834,Cocker Spaniel,Brown/White,10,365.0,Intact
A725546,*Clyde,2016-06-25 11:18:00,Jun 2016,2016-03-29,Adoption,Cat,Neutered Male,88,Domestic Shorthair Mix,Black,2,30.0,Fixed
A695236,*Phoebe,2015-01-17 11:13:00,Jan 2015,2014-09-15,Adoption,Cat,Spayed Female,124,Domestic Shorthair Mix,Brown Tabby/White,4,30.0,Fixed
A842357,A842357,2021-09-16 13:56:00,Sep 2021,2019-09-14,Transfer,Cat,Intact Female,733,Domestic Shorthair,Brown Tabby/White,2,365.0,Intact
A717740,*Escalade,2015-12-23 13:33:00,Dec 2015,2013-12-14,Transfer,Cat,Neutered Male,739,Domestic Shorthair Mix,Blue Tabby/White,2,365.0,Fixed
A806097,*Yara,2019-10-10 12:58:00,Oct 2019,2019-08-05,Transfer,Dog,Intact Female,66,Rat Terrier,Tricolor,2,30.0,Intact
A797279,Rex,2019-06-17 00:00:00,Jun 2019,2017-06-11,Missing,Dog,Intact Male,736,Staffordshire,Brown/White,2,365.0,Intact
A838777,Pretty Girl,2021-07-18 16:50:00,Jul 2021,2017-07-12,Adoption,Dog,Spayed Female,1467,Chihuahua Shorthair,Tricolor,4,365.0,Fixed
A722425,Tina,2016-03-18 17:22:00,Mar 2016,2014-03-16,Return to Owner,Dog,Spayed Female,733,Chihuahua Shorthair/Dachshund,Red,2,365.0,Fixed
A764284,Lou Anne,2017-12-31 16:58:00,Dec 2017,2017-02-27,Transfer,Cat,Intact Female,307,Domestic Medium Hair Mix,Cream Tabby,10,30.0,Intact
